raw_file_id,survey_id,raw_source,archive_path,inner_name,file_size,platform,ingested_at
raw_0032,tally_mYZDvN,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Альтернатива. Внутренний опрос. [mYZDvN].csv,tally_export/Альтернатива. Внутренний опрос. [mYZDvN].csv,1955334,Tally,2026-06-04T02:24:18
raw_0033,tally_3XDlbe,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Национальная лотерея [3XDlbe].csv,tally_export/Национальная лотерея [3XDlbe].csv,1038491,Tally,2026-06-04T02:24:18
raw_0034,tally_nP6Jkx,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Октобанк [nP6Jkx].csv,tally_export/Октобанк [nP6Jkx].csv,910580,Tally,2026-06-04T02:24:18
raw_0035,tally_wADybN,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Анкетирование сотрудников _БФТ_. [wADybN].csv,tally_export/Анкетирование сотрудников _БФТ_. [wADybN].csv,1156089,Tally,2026-06-04T02:24:18
raw_0036,tally_wkYYpR,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Анкета для количественного исследования К+31 [wkYYpR].csv,tally_export/Анкета для количественного исследования К+31 [wkYYpR].csv,1013183,Tally,2026-06-04T02:24:18
raw_0037,tally_31egdp,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Анкета для опросов не клиентов Восточки [31egdp].csv,tally_export/Анкета для опросов не клиентов Восточки [31egdp].csv,492422,Tally,2026-06-04T02:24:18
raw_0038,tally_3ENlQo,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Исследование потребительских предпочтений и факторов выбора при оформлении займо [3ENlQo].csv,tally_export/Исследование потребительских предпочтений и факторов выбора при оформлении займо [3ENlQo].csv,790509,Tally,2026-06-04T02:24:18
raw_0039,tally_mBBxqQ,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Опрос сотрудников Корпорации Термекс [mBBxqQ].csv,tally_export/Опрос сотрудников Корпорации Термекс [mBBxqQ].csv,1920489,Tally,2026-06-04T02:24:18
raw_0040,tally_woXJlV,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Ringo. Հարցաթերթիկ հաճախորդների համար﻿ [woXJlV].csv,tally_export/Ringo. Հարցաթերթիկ հաճախորդների համար [woXJlV].csv,9066692,Tally,2026-06-04T02:24:18
raw_0041,tally_3XVBRO,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Опрос-исследование фитнес-клубы [3XVBRO].csv,tally_export/Опрос-исследование фитнес-клубы [3XVBRO].csv,484065,Tally,2026-06-04T02:24:18
raw_0042,tally_mJ0A4r,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Опрос про автомобили (Ростов) [mJ0A4r].csv,tally_export/Опрос про автомобили (Ростов) [mJ0A4r].csv,2624458,Tally,2026-06-04T02:24:18
raw_0043,tally_3Ele0q,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/ГИНЗА Бани. Опрос-исследование опыта использования банных комплексов и SPA центр [3Ele0q].csv,tally_export/ГИНЗА Бани. Опрос-исследование опыта использования банных комплексов и SPA центр [3Ele0q].csv,3744878,Tally,2026-06-04T02:24:18
raw_0044,tally_w4rGld,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Муста Ярви [w4rGld].csv,tally_export/Муста Ярви [w4rGld].csv,298597,Tally,2026-06-04T02:24:19
raw_0045,tally_w72GRP,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Анкета НЕклиентов Печорин [w72GRP].csv,tally_export/Анкета НЕклиентов Печорин [w72GRP].csv,2878480,Tally,2026-06-04T02:24:19
raw_0046,survey_e5dd2ce96ea5,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip,Опросы/anketolog-report-2132990-survey-1035748-dinastiya-s-neklientyi-L60lTZ.xlsx,Опросы/anketolog-report-2132990-survey-1035748-dinastiya-s-neklientyi-L60lTZ.xlsx,119403,XLSX,2026-06-04T02:24:19
raw_0047,survey_674b0a7f7320,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip,Опросы/anketolog-report-2082085-survey-998428-santerra-anketa-dlya-neklientov-xpDLQd.xlsx,Опросы/anketolog-report-2082085-survey-998428-santerra-anketa-dlya-neklientov-xpDLQd.xlsx,40173,XLSX,2026-06-04T02:24:19
raw_0048,survey_29b4c05c8650,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip,Опросы/anketolog-report-2116057-survey-1020398-mts21-oprosyi-neklientov-5SVfOs.xlsx,Опросы/anketolog-report-2116057-survey-1020398-mts21-oprosyi-neklientov-5SVfOs.xlsx,31026,XLSX,2026-06-04T02:24:19
raw_0049,survey_ad67d09c1eb7,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip,Опросы/anketolog-report-2120048-survey-1029416-abrau-resvera-H1kZUY.xlsx,Опросы/anketolog-report-2120048-survey-1029416-abrau-resvera-H1kZUY.xlsx,389258,XLSX,2026-06-04T02:24:20
raw_0050,survey_ad2f73b59804,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip,Опросы/anketolog-report-2115153-survey-1027170-opros-o-ryinke-materialov-dlya-naruzhnoy-otdelki-doma-8TyLIA.xlsx,Опросы/anketolog-report-2115153-survey-1027170-opros-o-ryinke-materialov-dlya-naruzhnoy-otdelki-doma-8TyLIA.xlsx,143669,XLSX,2026-06-04T02:24:20
raw_0051,survey_43ea0df69e2b,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip,Опросы/anketolog-report-2082093-survey-998603-santerra-anketa-dlya-neklientov-detskoe-napravlenie-HPaDeR.xlsx,Опросы/anketolog-report-2082093-survey-998603-santerra-anketa-dlya-neklientov-detskoe-napravlenie-HPaDeR.xlsx,22261,XLSX,2026-06-04T02:24:20
raw_0052,survey_bc0520ed7d73,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip,Опросы/anketolog-report-2112290-survey-1024509-opros-o-sportivnoy-odezhde-iGDRe8.xlsx,Опросы/anketolog-report-2112290-survey-1024509-opros-o-sportivnoy-odezhde-iGDRe8.xlsx,161835,XLSX,2026-06-04T02:24:20
raw_0053,survey_fd764cf4ae87,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip,Опросы/anketolog-report-2114014-survey-1024967-mrtts-anketa-po-neklientam-Byz45j.xlsx,Опросы/anketolog-report-2114014-survey-1024967-mrtts-anketa-po-neklientam-Byz45j.xlsx,88310,XLSX,2026-06-04T02:24:20
raw_0054,survey_697c1c20d0e2,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip,Опросы/anketolog-report-2127383-survey-1034677-myasnoy-gurman-klientyi-fDTudo.xlsx,Опросы/anketolog-report-2127383-survey-1034677-myasnoy-gurman-klientyi-fDTudo.xlsx,10693,XLSX,2026-06-04T02:24:20
raw_0055,survey_ba7340497413,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip,Опросы/anketolog-report-2129034-survey-1030508-myasnoy-gurman-neklientyi-85oN66.xlsx,Опросы/anketolog-report-2129034-survey-1030508-myasnoy-gurman-neklientyi-85oN66.xlsx,187779,XLSX,2026-06-04T02:24:20
raw_0056,survey_365d8aa88808,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Опросы.zip,Опросы/anketolog-report-2089110-survey-1007883-biotehnologicheskie-produktyi-pitaniya-jclaRC.xlsx,Опросы/anketolog-report-2089110-survey-1007883-biotehnologicheskie-produktyi-pitaniya-jclaRC.xlsx,176192,XLSX,2026-06-04T02:24:21
raw_0057,survey_b88258a199df,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/Archive 2.zip,Опрос_по_М_L7AgzR4d7KSePzw6S37yxQ_2026-6-4.xlsx,Опрос_по_М_L7AgzR4d7KSePzw6S37yxQ_2026-6-4.xlsx,157377,XLSX,2026-06-04T02:24:21
